sentence	label
地产股午后爆发 万科A涨停（要闻）	1
恒大前9月合约销售额2806亿 已超过万科（要闻）	2
万科副总裁：总部上半年离职率已达去年水平（要闻）	2
万科A：恒大举牌前曾与公司有过初步接洽（公司快讯）	1
万科4月拿地锐减 龙头房企绸缪过冬（要闻）	2
郁亮说房价猛涨期结束？看完万科近年财报秒懂了（张银银博客）	1
王石：万科2014年销售额有望达2000亿元（要闻）	1
万科上半年实现销售额836亿元（要闻）	1
万科股权激励计划流产（要闻）	2
万科进军美国是开发商“外逃”前奏（邱林其他栏目）	2
王石：万科要不要保“行业第一”？（要闻）	0
万科A上半年销售额破千亿（公司快讯）	2
独家|王石择机交棒 详解万科新董事会提名格局（要闻）	0
两项目涉嫌无证销售 万科西安项目集体受罚（要闻）	1
恒大举牌万科意欲何为？（黎慧玲）	0
万科5月销售同比大增逾七成 均价下跌（要闻）	2
钜盛华答深交所：举牌万科的钱“带杠杆”（公司快讯）	2
万科香河带头降价 下半年开发商或加大促销回款力度（要闻）	2
万科A:1季度销售额同比增41%,14年地产收入已锁定41%（公司快讯）	1
宝能实施逼宫计划 意欲改组万科董事会（要闻）	2
万科绿地抱团54亿夺上海新地王（要闻）	1
万科首个自持租赁项目面世 月租金1.5万元起（要闻）	0
万科净利润率同比下滑 汇兑亏损8.8亿元（要闻）	2
万科连续两年港股配售 融资157亿港元用于海外业务（地产）	1
宝能减持万科套现82亿元；中国据称考虑完全取消计划生育政策（张鸿早点说）	0
郁亮相中搭档 祝九胜出任万科总裁兼CEO（要闻）	1
万科终止与深圳地铁重组 白武士计划受挫（要闻）	2
万科：非常确定土地市场购买力将下降（要闻）	2
中粮万科长阳半岛业主维权 不满学校医院配套大缩水（要闻）	2
郁亮：万科将定位为城市配套服务商（要闻）	1
不怼万科改行造汽车，门口野蛮人宝能造汽车能有戏吗？（江瀚博客）	2
【数据精华】万科的好消息与坏消息/剖析极兔与快递业“内卷”（特报）	0
前11个月对外直接投资降1.2%；“宝能系”减持万科至5%以下（张鸿早点说）	0
万科连遭举牌背后： 股权暗战or股价被低估？（公司快讯）	0
宝能系成万科“准大股东”三大谜团待解（公司快讯）	0
万科豪掷551亿！广州花地湾29年土地增值密码（张银银博客）	1
卓越万科长沙抢地纠纷： 国土局网拍系统遭质疑（公司快讯）	2
星展：不看好万科深铁重组（全球公司）	2
万科董秘：虚心接受监管部门批评 加强与监管部门及股东沟通（公司快讯）	2
宝能释放善意王石不领情 万科的退路在哪？（公司快讯）	2
恒大承认持股4.68% 万科A开盘涨3.36%（金融市场）	1
融创土储面积超越万科：利润加速释放，规模跃升去杠杆（面包财经博客）	2
万科副总裁毛大庆将离职创业（房地产）	2
万科全年销售额1081亿元增逾七成（要闻）	1
持股27年 刘元生退出万科前十大股东（公司快讯）	0
万科确认徐洪舸、肖楠辞职（要闻）	2
盘前必读：供销社可设立中小银行 万科一季净利同比大幅下降（盘前必读）	2
谁在撬板万科A？两家机构买入15亿元（要闻）	0
武汉万科开盘请方丈助阵（滚动新闻）	0
【读财报】TOP30房企11月销售数据回落 融创力压万科居首（面包财经博客）	2
“宝能系”减持万科A 资管计划清盘收尾（要闻）	0
万科三宗“最”！活下去背后的收购秘密（张银银博客）	1
为什么砸售楼处的总少不了杭州人？戏精如万科，也不敢在他们头上动土（智谷趋势博客）	0
万科内部信：我们不是资本的奴隶（要闻）	0
万科现百亿大宗交易 近4%股份溢价成交（要闻）	1
万科上半年销售额过千亿 业务加速转型（公司快讯）	1
万科启动职级工资体系重构 全员“一年一起立”（要闻）	0
宝能减持万科套现718亿元 持股比例降至1.14%（地产）	0
亮牌万科（周一全媒体）	0
郁亮：万科不会缺席前海（要闻）	1
为何万科和融创都看“跌”楼市？（张银银博客）	2
万科A：6月销售增速放缓 土地储备继续快速扩张（公司快讯）	2
万科A3月实现销售额144.3亿元（公司快讯）	1
深圳地铁入局万科获国资委批准（要闻）	1
万科A:4月销售124亿元,拿地回升不改谨慎态（公司快讯）	1
万科大涨不仅是房地产在中国的胜利！（张银银博客）	1
今日收盘：万科A横盘震荡 沪指放量微跌0.01%（金融市场）	2
万科再次被“敲门”（商业）	2
万科收购战：是因战而乱？还是心乱兴战？ | 保险资金举牌（四）（金勇军博客）	1
万科恒大碧桂园疯狂撒狗粮：低调万达现在可还好？（张银银博客）	1
万科7月销售额环比略降（要闻）	1
王石：你拿走“万科”两个字，那又怎么样？（要闻）	0
地方国企为何抢22元的万科？（尹铭博客）	1
万科董事会换届落定 深铁提名11人当选（要闻）	0
万科H股再获深港通抢筹（公司快讯）	1
万科副总肖莉：房地产市场目前供应不足（要闻）	1
万科深圳地铁重组梦碎，万科股权争夺战的四种结局（张银银博客）	2
地产大哥万科投身养猪业，能否解救房地产企业困境？（康斯坦丁博客）	0
恒大斥资百亿举牌万科 参与穗企曾持股华夏（要闻）	1
宝能系挤下华润 再当万科第一大股东（要闻）	1
万科保利金地3月销售额大增 末班车效应明显（公司快讯）	1
万科A股继续停牌 宝能系投赞成票（要闻）	2
万科：复盘后股价可能存在更大压力（要闻）	2
宝能系质押万科、南玻A 继续放大杠杆（更新）（要闻）	2
万科网上卖房只是开始（要闻）	1
【深度图文】万科赚钱变慢存粮过冬 谨慎策略能否获得市场认同（财经）	2
万科宣布20亿美元中期票据发行计划（要闻）	1
万科前三季度净利增41.7%（要闻）	1
万科用企业股资产筹建3家儿童医院（要闻）	1
新力量入局万科股权之争 新世界集团郑彤裕家族等扫货万科H股（公司快讯）	1
宝能资管计划清盘完毕 减持万科获利43亿元（要闻）	0
万科申请冻结深华发A大股东股份（要闻）	0
万科郁亮：三条红线促使房地产回归普通行业（每日精读）	2
万科B转H预计6月19日挂牌（要闻）	1
万 科Ａ：2015年半年度报告主要财务指标（公司快讯）	1
今日收盘：万科A封死跌停板 大盘放量上涨1.91%（金融市场）	1
王石大战野蛮人，谁将是下一个万科？（相关报道）	2
万科180万元租房10年，背后暗藏的8件大事！（张大伟博客）	0
深铁万科合作将不局限于深圳（要闻）	1
【地产】逢融资时艰之际 万科等顶级开发商眼看有800亿美元短期债务到期（财经）	2
万科股权激励计划股票售完 获资4.69亿（要闻）	1
宝能万科股权之争引起的思考与启示（曹凤歧博客）	0
万科拟增发筹资100亿元（要闻）	1
万科表示启动紧急调查程序全面复检安信地板（要闻）	1
深交所问万科：独董回避投票是否合法合规（公司快讯）	2
龙头股份：上海万科1.64亿摘得交大科技园部分股权 预增收益5300万元（公司快讯）	1
北京万科联手国企实现销售去年集团第一（要闻）	1
股权之争不误生产 万科12月份新增21项目（公司快讯）	1
万 科Ａ：万科置业（香港）为Wkdeveloper sig I Private（公司快讯）	0
碧桂园万科负增长！8月销售承压地价下探，楼市一夜入秋？（张银银博客）	2
万科去年盈利96亿元 同比增长超三成（要闻）	1
万科2010年逆市实现千亿元销售额（要闻）	1
宝能何时套现万科引市场关注（特报）	0
万科在广东佛山竞得100%自持地块（要闻）	1
透视万科争夺战：影子银行角色（王烁）	0
万科领衔房地产金融曲线进化（公司快讯）	1
争夺万科：股市就应该“山高股为峰”（尹铭博客）	0
万科养猪，新希望地产疯狂进击！谁更危险？（张银银博客）	1
恒大持有万科股份比例增至8.285%（要闻）	1
万科提交境外增发股份申请资料：备足粮草活下去？（面包财经博客）	1
黑石转手股权 万科入主零售地产运营商（要闻）	1
宝能系持股25% 第五次举牌万科（要闻）	1
计提12.3亿存货跌价准备致万科净利润下跌（要闻）	2
万科拟在100亿人民币额度内回购A股股份（公司快讯）	1
万科一季度盈利8.3亿 同比增长28%（公司快讯）	1
青岛万科楼盘旁建变电站遭业主抗议（滚动新闻）	2
今日午盘：万科A成交刷新高 沪指险守3000点（金融市场）	1
万科董秘：今年房价将会僵持或下滑（要闻）	2
万科A复牌，该值几块钱？（侯安扬博客）	1
2018年万科土地投资缩减近四成 郁亮再提地产白银时代（要闻）	2
万科：盲目城镇化可能带来严重问题和浪费（要闻）	0
万科净利首破200亿 四成用于股东分红（要闻）	1
“17万科01”债拟下调票面利率 由4.5%大幅降至1.9%（要闻）	2
吉林冰雪经济火爆 万科占位滑雪度假区（要闻）	1
万科A：销售表现超预期 物流地产再推进（公司快讯）	1
万科A已成小盘股 距离股权分布退市红线还远吗？（要闻）	0
万科今年前两月销售额下降27%（要闻）	2
万科连续两月销售收入过百亿（要闻）	1
万科A继续停牌两月 称计划收购多项境内外资产（要闻）	0
楼市观察|房企销售回款放缓 万科强调“活下去”（要闻）	0
万科A：重组取得一定进展 A股股票继续停牌（公司快讯）	0
2亿万科股权捐赠清华大学，王石说这笔资产找到最好归宿（健康）	1
楼市观察|龙头房企拿地分化 万科居首碧桂园跌出前20（要闻）	2
万科朱保全：万物云要做物业行业的“贝壳”（地产）	1
万科回应股份回购进展：做好基本面才是最重要维稳（公司快讯）	1
万科调整三高管职位 聚焦房地产业务增长（要闻）	1
万科今年销售金额或已超去年（要闻）	1
物业公司赴港上市热度不减 万科暂无计划（要闻）	0
【独家】华润暂退第一大股东之争 未出手增持万科（要闻）	2
达沃斯专访｜万科刘肖：集体用地做长租公寓仍需探索商业模式（要闻）	0
万科H股挂牌 成香港第四大溢价AH股（公司快讯）	1
万科兑现“金九” 称将继续跑赢大市（要闻）	1
万 科Ａ：2015年六月份销售及近期新增项目情况简报（公司快讯）	0
“千亿级”万科试行总承包管理模式（要闻）	1
万科再度接盘 海航10.35亿出售广州地产项目（要闻）	1
万科涉足银行业的阳谋（博客）	2
万科6月销售累计面积同比增56%（要闻）	1
万科提出完善房地产制度四条建议（要闻）	1
【数据图集】万科年度销售额同比增速创新低/美国连续两个月为石油净出口国（特报）	1
万科B转H延后（要闻）	2
小散诉万科深铁合作决议无效 法院驳回（要闻）	1
万科5月销售锐减（要闻）	2
万科证实与凯雷洽谈出售部分商业物业（要闻）	2
万科董秘：房价不具备大幅上涨动力（公司快讯）	0
独家|傅育宁回应万科股权之争：回报令人满意（更新）（要闻）	1
万科10月销售超155亿元创新高（要闻）	1
恒大半年借款猛增逾1300亿 无意增持万科（要闻）	2
万科认购徽商银行8.8亿新股（要闻）	1
万科之争不可任性（张继伟）	2
万科北京新盘推倒降价第一块骨牌（要闻）	2
王石大战野蛮人，谁将是下一个万科？（宋光辉博客）	2
万科回应降价退款传闻；美股暴跌（张鸿早点说）	2
北京城建联手北京万科竞得延庆县一地块（公司快讯）	1
万科达成在港借壳上市目标（要闻）	1
万科王文金：评级机构目前尚未对万科下调评级（公司快讯）	0
董小姐意为“造车之梦”加杠杆，万科王石的今天就是她的明天？（张银银博客）	0
财新数据|恒大前十月销售额增幅19% 超万科、碧桂园（CEIC聚焦）	2
万科去年净利增三成（要闻）	1
万科大股东易主昨日急跌逾5% 华润短期内恐难反击（公司快讯）	2
万科回归深圳福田中心区（要闻）	0
万科争夺升级 国际评级机构“口头警告”（要闻）	2
万科H股突围（商业）	1
宝能系自曝千亿净资产 仍不愿放手万科（要闻）	0
万科启示录：“资本”何谓，主权在谁？（韩十洲博客）	0
私募人士建议：万科战局激烈 观战胜过参战（要闻）	2
过去13年来净利润首次下滑 万科忐忑求解（地产）	2
【数据图集】万科7、8月拿地金额激增/香港8月PMI降至十年新低（特报）	1
【数据图解】万科、碧桂园8月销售额同比增三成（特报）	1
万科：下周一复牌不实 重组尚在推进（要闻）	2
宝能系买入万科资管计划关键内容被涂黑（要闻）	0
万科股权危机未解 董事会换届方案未定（要闻）	2
【市场动态】万科上半年净利润同比下降 受中国房地产调控影响（财经）	1
万科重组方案令H股受压（要闻）	2
万 科Ａ：公司事业合伙人继续购买公司A股股票（公司快讯）	1
万科调整架构及人事 五大区裂变成七大区（地产）	0
宝能华润均未减持万科 恒大交易对手仍是谜（要闻）	0
万科：地板若确有问题将负全部责任（要闻）	1
万科启动事业合伙人持股计划（要闻）	1
推倒管理金字塔 万科重建组织体系（要闻）	1
万科转向老股重组阶段 定价是难点（要闻）	0
万科：净利润388.72亿，毛利率下降等原因拖累利润增长（面包财经博客）	2
万科A再度涨停 广州营业部再次净买入6.82亿（公司快讯）	1
第六届财新峰会：中国大转型 万科新思维（滚动新闻）	1
万科半年销售额首破千亿3个新项目中2个“小股操盘”（公司快讯）	2
郁亮：万科购地将避免拼“地王”（要闻）	1
万科股权之争：合法合规就好（刘志彪）	0
今日收盘：万科A尾盘大单买入 沪指攻占3000点（金融市场）	0
万 科Ａ：2014年第一次临时股东大会决议（公司快讯）	1
万科是属于利益攸关方的（聚焦）	1
“不要忘记，白银也是贵金属”！大赚的万科，悲凉的刚需（张银银博客）	2
万科获深圳地铁400亿至600亿元资产注入（要闻）	1
深圳流标地再招标 华侨城击败万科夺魁（要闻）	2
宝能万科之争：我为什么支持王石（胜军改革观察）	1
基金业协会：已对万科举报事项开展核查（要闻）	2
万科章程埋伏笔 “宝能系”登堂难入室（公司快讯）	2
郁亮：不谈规模数字，万科未来只看回款率（要闻）	1
上市房企2月份经营数据：整体微降，万科销售额领跑（面包财经博客）	1
深圳地铁称不干预万科经营 不断为万科获取资源（地产）	1
万科股东刘元生回应华润：质疑均有佐证（要闻）	1
今日开盘：两市平开 万科开盘跌2.05%（金融市场）	2
碧桂园前4月稳坐销冠之位 万科落后其91亿（公司快讯）	2
万科牵手杭州地铁 开发轨道物业项目（要闻）	1
华润撤离万科 作价372亿转让老股予深圳地铁（要闻）	2
万科B转H方案获股东大会通过（要闻）	1
【特别报道】万科混改：“稳定意味着死亡”（特别报道）	1
1月开局乏力 万科等多家房企业绩下滑（要闻）	2
万科已有潜在重组对象 拟发行新股及现金收购（要闻）	1
万科2月销售额同比剧降35% 面积降六成（要闻）	2
今日收盘：万科A新高后跳水 沪指震荡下跌0.18%（金融市场）	2
独家|恒大表态不增持不控股万科 宝能尚无善后方案（要闻）	0
【数据图解】万科致股东：这就是房地产行业白银时代（财经）	2
泰禾大股东折价出让股份 万科或成第二大股东（地产）	1
聚焦“股权之争”——万科事件带来的三个思考（何诚颖博客）	0
万科一季度净利增15.8%（公告新闻）	1
【数据图解】万科10月销售增速创年内新高（财经）	1
恒大火线吸筹万科 持股增至14%（要闻）	1
万科：一旦宝能控股，万科将不再是万科（要闻）	2
钜盛华质押万科6.59%股份（公司快讯）	2
【数据图集】9月万科拿地金额环比减少167亿/招商蛇口合同销售金额大增逾八成（特报）	2
万科宣布多项人事变动 董秘换人（要闻）	0
解析万科的谨慎过冬策略/新加坡GDP自金融危机以来首次同比萎缩|数据精华（“财新数据通”每日精选）	2
万科上半年营收502亿 地产行业销售趋向集中（公司快讯）	1
郁亮：万科目前尚无海外融资计划（要闻）	0
万科跟踪报告:4月土地购置提升,5月销售有望持续增长（公司快讯）	1
宝能安邦停牌前抢筹万科 安邦会与谁结盟？（要闻）	0
万科与优客工厂合作 毛大庆再谈互联网思维（要闻）	1
德尔家居与万科签订集中采购协议（公司快讯）	1
万科独董华生：我为什么不支持华润意见（中）（聚焦）	0
王石：结束与万科的33年 为下一个33年做准备（要闻）	0
万科集体土地租赁住房项目入市 长租公寓行业添新模式（地产）	1
万科表态做租赁行业龙头 提振股价再创新高（要闻）	1
万科A持续反弹 9个交易日涨近10%（公司快讯）	1
郁亮：祝九胜分管万科资金中心立功劳（要闻）	1
万科上海工地塌方致三死 公司停工自查所有在建基坑（要闻）	2
万科前三季度盈利同比增长10.6%（要闻）	1
万科股价下跌 宝能系再遇平仓风险（金融混业观察）	2
万科H股复牌A股续停 重组前景不明（要闻）	2
万科活得怎么样？|2019年报剖析（张银银博客）	0
万科的股民又要嗨了！这一次，许家印已无退路（张银银博客）	1
资本军团鏖战万科：宝能系底线在哪？谁是最强后援？（公司快讯）	1
证监会回应万科事件：依法在公司治理框架内解决（公司快讯）	1
【数据精华】解析万科的谨慎过冬策略/新加坡GDP自金融危机以来首次同比萎缩（特报）	2
万 科Ａ：2013年9月份销售及近期新增项目情况简报（公司快讯）	0
万科10月销售强势反弹 与恒大PK年度总冠军（公司快讯）	1
【盘间热点】地产股午后持续下挫 万科A大跌6%（特报）	2
万科A:销售景气逐渐回升,机制创新更进一步（公司快讯）	1
【独家】万科：安邦受让“宝能系”股份纯属谣言（要闻）	1
详解万科2月业绩 月均销售250亿是底线（要闻）	0
万科事件发酵！深圳杭州人值得学习（张银银博客）	2
周边配套缩水 中粮万科长阳半岛业主维权（滚动新闻）	2
罢免万科管理层，华润宝能下一步会怎么做？（侯安扬博客）	2
宝能系持续减持万科 资管计划已清理三成（要闻）	0
万科接盘北京海南航空大厦 海航控股获利5.6亿元（要闻）	1
4.5 案例：万科 （上） 财务与经营（李志文其他栏目）	0
“宝能系”继续后撤 第四个资管计划开始减持万科（要闻）	0
万科公布2016年年报：销售额超3600亿 净负债率仅25.9%（公司快讯）	1
TOP30上市房企8月销售面积排行：万科退出前三，绿城新入榜（面包财经博客）	2
王石：四年后万科销售再翻番（要闻）	1
万科险中求（周一全媒体）	1
万科1月销售均价下滑逾一成（要闻）	2
万科“B转H” 港交所明聆讯（要闻）	1
万科A跌近17元关口 百亿资管计划破预警线（更新）（要闻）	2
相互保用户突破1000万 科技助力保险回归本源（盘和林博客）	0
万科牵手深圳地铁 有望获土地资产注入（要闻）	1
财新数据|10月万科售房均价反弹至1.6万/平米（CEIC聚焦）	1
万科上演三国杀，大家都在争什么？（财子佳人博客）	2
万科副总裁：相信中国股市放松监管大趋势不会变（要闻）	1
万科CEO祝九胜请辞康达尔董事（要闻）	0
万科一季度销售310.70亿元 比去年降12.5%（要闻）	2
万科开始国际化 拟在香港美国建房（要闻）	1
万科正在筹划B股转H股（要闻）	1
万科案例，这些公司最容易成为野蛮人举牌对象（公司快讯）	0
万科广州再拿两块宅地 自持比例超五成（要闻）	1
学者激辩万科事件 如何理解“规则”成焦点（要闻）	0
聚焦“万科事件”——股权之争的表面与实质、争端和妥协、坎坷与发展（何诚颖博客）	2
万科，怎么就成了一只“万花筒”了？（陈宏民博客）	2
万科上半年已售合同金额创537亿元纪录（要闻）	1
华生：万科之争的公司治理和国企改革意义（续三）（聚焦）	0
深交所问询万科：资产作价是否合理（要闻）	2
万科携手淘宝卖房 营销噱头多于福利（要闻）	2
从DELL并购案看万科商战（聚焦）	0
证监会成立小组处理宝万事件 深交所发函同批万科钜盛华（要闻）	0
万科香港子公司首发1.4亿新加坡元债券（公司快讯）	1
广州551亿元资产包引入投资者 万科称学习不良资产处置能力（地产）	1
浮盈超百亿，宝能的万科股票卖给谁？（张鸿「标题党」 第一季）	0
万科今明两年装修房建材采购或超50亿元（要闻）	1
今日收盘：万科A尾盘涨停 沪指震荡微涨0.13%（金融市场）	1
【独家】宝能资金吃紧将减持万科 谁会是“接盘侠”？（要闻）	2
万科兑现“金九” 称将继续跑赢大市（要闻）	1
TOP30房企4月销售持续回暖，恒大、碧桂园、万科居前三（面包财经博客）	1
TOP30上市房企1月销售排行：销售面积恒大、碧桂园、万科居前三（面包财经博客）	1
宝能华润深夜联手 反对万科重组预案（要闻）	2
万科B转H股拟比照中集模式（要闻）	1
万科执行副总裁袁伯银转任红星美凯龙总裁（要闻）	2
【公司】万科业绩出炉遭瑞信等大行下调评级（财经）	2
万科郁亮重提“白银时代”/海航人事再变动|数据精华（“财新数据通”每日精选）	2
万科股权之争落幕是反思公司治理模式开始（李宇嘉博客）	2
谭华杰：深圳市政府是支持万科的（要闻）	1
“西北一哥”进击港交所！拉上万科冯仑，中亿基业前路如何？（张银银博客）	0
万科试错（商业）	1
万科放量大决战:股价已跌至宝能举牌成本上限（公司快讯）	2
神秘资金续增持万科H股 持股达11.54%（要闻）	1
万科朱旭：恒大并没有透露入股目的和未来动作（公司快讯）	0
万科一季度净利润预降超五成（要闻）	2
恒大悄然增持万科 持股比例达7%（要闻）	0
万科证实正在洽谈并购深圳城建（要闻）	1
华夏幸福出让部分环京项目主导权 北京万科接盘（要闻）	1
广信房产烂尾近20年 万科551亿接盘（要闻）	0
普洛斯私有化收官 万科成第一大股东（要闻）	1
万科拟购黑石商业地产 已签交易协议（要闻）	2
万科向华润信托再借30亿元（金融当日快讯）	2
宝能清盘3个资管计划 减持万科套现82亿元（要闻）	0
【数据图解】7月万科、恒大销售额同比增长逾两成（特报）	1
万科复牌累计跌幅超25% 宝能系杠杆资金风险加大（公司快讯）	2
独家|万科向清华捐出2亿股 53亿捐赠幕后的61亿大宗交易（要闻）	1
万科之争，大佬们都在说什么（聚焦）	0
万科在港买壳 获南联地产股东支持（要闻）	1
多家投行下调万科目标价 称管理层变动影响负面（要闻）	2
万科上半年销售额逆市增近20%（要闻）	1
万科郁亮说“房价会降”其实另有深意（张银银博客）	0
万科“脱身”香河泥潭幕后原委（李慎）	0
摩根大通评“万科事件”：中国影子银行亟需监管（要闻）	2
【独家】万科启动市场化重组 停牌预计至少三月（要闻）	2
万科重提股票期权激励计划（要闻）	1
中海万科绿地血拼：半月砸145亿上海掠地（公司快讯）	2
王石：未来十年万科面临两个转型（新闻）	2
万科A B转H申请获香港联交所聆讯通过（公司快讯）	1
宝能系五度循环质押万科 中信信托、平安证券接手（金融混业观察）	2
万科董事会换届在即 郁亮接棒王石（要闻）	1
钜盛华继续买入万科309.9万股第五次举牌（公司快讯）	1
万科大兴项目精装修变毛坯房总价未跌（要闻）	1
今日午盘：万科A强势封涨停 沪指翻红涨0.29%（金融市场）	1
深铁与万科对赌 每年可得分红超20亿（要闻）	1
“宝能系”减持万科至5%以下 总共套现589亿元（地产）	0
万科剧透重组路径 澄清三方和谈传闻（公司快讯）	2
万科暂不下调全年开工计划（要闻）	0
张维迎：万科事件令人失望 应寻找多赢方案（要闻）	2
绿地“豪言”恐难兑现 万科仍是“地产一哥”（公司快讯）	1
万科入股徽商 社区金融服务构想浮水（李慎）	2
万科回应王石薪酬问题 称是执行董事负责战略（要闻）	0
盘前必读：恒大火线吸筹万科（盘前必读）	1
聚焦“股权之争”——万科股权结构变化与股权制度探讨（何诚颖博客）	0
华润增持重夺第一大股东之位 万科股权拉锯战（公司快讯）	2
佳兆业上海子公司作价12亿卖给万科（要闻）	1
万科首份复检结果显示安信地板合格（要闻）	1
万科A：一季度净利降17% 证金公司退出前十大股东（公司快讯）	2
万科A:销售面积连续两月下滑（公司快讯）	2
今日午盘：万科A横盘震荡 大盘冲高回落跌0.10%（金融市场）	2
万科坚持“不拿地王”策略不动摇（要闻）	1
安装充电桩受阻 万科物业被承租户起诉（要闻）	2
万科提请监管层彻查宝能是否存在操纵市场行为（要闻）	1
绿地追近万科 或将上半年A股整体上市（要闻）	2
【独家】宝能系续增万科至22.45% 股东管理层战争打响（要闻）	2
独家|恒大控制万科股份或超10% 借壳深深房博弈深圳政府（要闻）	0
万科A4月实现123.8亿销售额 新增11个项目（公司快讯）	1
万科首尝境外美元债券 年票息率仅2.625%（要闻）	2
下属房企请官员出国看球 万科称将加强管理（要闻）	2
万科入股美房地产咨询商高纬环球|中企全球动态（一线）	1
港股分析：万科股价不看基本面（中国聚焦）	0
证监会：万科B转H审核中（要闻）	1
万科率先进入“全面绿化时代”（要闻）	1
万科董秘：当前深圳库存持续增长为京沪预警（要闻）	0
万科上海区域总经理辞职（要闻）	2
万科收购战：是因战而乱？还是心乱兴战？| 保险资金举牌（二）（金勇军博客）	1
万科澄清“对赌协议” 20亿系深铁投资回报设想（要闻）	1
